Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2010-06-30,296094000.0,-162582000.0,133512000.0,-83079000.0,-83079000.0,,,50433000.0,-38605000.0,-37124000.0,11828000,-11660000.0,168000,-2442000.0,-2274000,,-2274000,-2274000,717453000.0,106255000.0,,888235000.0,2400809000.0,4497000.0,988667000.0,3393973000.0,4282208000,224075000.0,29963000.0,299569000.0,2029425000.0,2232442000.0,2532011000,2288862000.0,,-374055000.0,1750197000.0,4282208000,-2274000.0,62750000.0,32306000.0,-35876000.0,-25671000.0,,3174000.0,-13379000.0,56906000.0,-148705000.0,-194942000.0,-113289000.0,-327455000.0,,-255577000.0,11270000.0,-252233000.0,-527960000,2010-06-30,79.48999786376953,82.55000305175781,79.16999816894531,81.22000122070312,65.67635345458984,888000.0
2010-09-30,330347000.0,-185476000.0,144871000.0,-89845000.0,-89845000.0,,,55026000.0,-36399000.0,-38053000.0,18627000,-2794000.0,15833000,-4637000.0,11196000,,11196000,11196000,712128000.0,115616000.0,,891811000.0,2582890000.0,3223000.0,1002967000.0,3589080000.0,4480891000,231103000.0,30104000.0,311025000.0,2101451000.0,2315893000.0,2626918000,2320153000.0,,-362859000.0,1853973000.0,4480891000,11196000.0,73298000.0,28077000.0,692000.0,-6729000.0,,-3013000.0,10434000.0,113263000.0,-143941000.0,-314919000.0,0.0,-259495000.0,,4091000.0,14026000.0,18112000.0,-122193000,2010-09-30,103.5,104.43000030517578,100.98999786376952,102.3499984741211,82.7625503540039,515700.0
2010-12-31,321124000.0,-171048000.0,150076000.0,-95836000.0,-95836000.0,,,54240000.0,-38115000.0,-38614000.0,16125000,-6227000.0,9898000,3194000.0,13092000,668000.0,13760000,13760000,590033000.0,116358000.0,,778048000.0,2650953000.0,2806000.0,1016202000.0,3669961000.0,4448009000,237521000.0,27966000.0,318115000.0,2020619000.0,2249379000.0,2567494000,2341632000.0,,-349099000.0,1880515000.0,4448009000,13760000.0,75439000.0,34408000.0,-716000.0,-1400000.0,,19128000.0,-18444000.0,122891000.0,-143351000.0,-144953000.0,0.0,17538000.0,,-85179000.0,3638000.0,-85989000.0,53692000,2010-12-31,81.97000122070312,82.19999694824219,80.7699966430664,81.26000213623047,65.70870208740234,444900.0
2011-03-31,363029000.0,-194576000.0,168453000.0,-96237000.0,-96237000.0,,,72216000.0,-35035000.0,-37146000.0,37181000,-911000.0,36270000,-11125000.0,25145000,,25145000,25145000,454506000.0,114207000.0,,694990000.0,2881126000.0,2145000.0,1074252000.0,3957523000.0,4652513000,259115000.0,28585000.0,343274000.0,2095855000.0,2321842000.0,2665116000,2372707000.0,,-323954000.0,1987397000.0,4652513000,25145000.0,78335000.0,26068000.0,-11778000.0,3099000.0,,-13606000.0,-1271000.0,117770000.0,-175115000.0,-149963000.0,,-286389000.0,,10583000.0,15668000.0,26126000.0,-138375000,2011-03-31,90.9000015258789,91.13999938964844,89.5999984741211,91.0999984741211,73.66554260253906,745600.0
2011-06-30,394900000.0,-215572000.0,179328000.0,-102744000.0,-102744000.0,,,76584000.0,-36024000.0,-37045000.0,40560000,-1718000.0,38842000,-8109000.0,30733000,,30730000,30730000,392118000.0,140316000.0,,649088000.0,3085202000.0,30960000.0,1203941000.0,4320103000.0,4969191000,280391000.0,281054000.0,620451000.0,1976807000.0,2215491000.0,2835942000,2399102000.0,,-293224000.0,2133249000.0,4969191000,30733000.0,85222000.0,31024000.0,-6631000.0,-19409000.0,,4082000.0,8696000.0,140348000.0,-188875000.0,-125401000.0,-41954000.0,-209737000.0,,52909000.0,8929000.0,61838000.0,-6594000,2011-06-30,100.68000030517578,101.58999633789062,100.01000213623048,101.0199966430664,81.68708801269531,492900.0
2011-09-30,408208000.0,-219724000.0,188484000.0,-108757000.0,-108757000.0,,,79727000.0,-52129000.0,-50435000.0,27598000,-2286000.0,25312000,-5137000.0,20175000,464000.0,20319000,20319000,1070769000.0,144185000.0,,1330298000.0,3122094000.0,99419000.0,1178876000.0,4400389000.0,5730687000,271274000.0,329195000.0,656156000.0,2730352000.0,2983652000.0,3639808000,2417828000.0,,-272905000.0,2090879000.0,5730687000,20639000.0,90746000.0,30985000.0,-500000.0,-9989000.0,,32000.0,9457000.0,141870000.0,-131525000.0,-752491000.0,0.0,-808693000.0,,748466000.0,11107000.0,744147000.0,72651000,2011-09-30,86.69999694824219,90.20999908447266,86.06999969482422,88.83000183105469,71.82997131347656,1176000.0
2011-12-31,399488000.0,-199152000.0,200336000.0,-116163000.0,-116163000.0,,,84173000.0,-53014000.0,-54397000.0,31159000,-1863000.0,29296000,-12976000.0,16320000,545000.0,18582000,18582000,914544000.0,139057000.0,,1235757000.0,3225912000.0,161801000.0,1161854000.0,4549567000.0,5785324000,322267000.0,345297000.0,725254000.0,2753833000.0,3040257000.0,3765511000,2437671000.0,-86666000.0,-255095000.0,2019813000.0,5785324000,16865000.0,93371000.0,33880000.0,43216000.0,3238000.0,,49209000.0,-9231000.0,187332000.0,-189871000.0,-240719000.0,0.0,-194336000.0,,123000.0,-83477000.0,-83383000.0,-91700000,2011-12-30,101.47000122070312,102.5199966430664,101.16000366210938,101.4000015258789,81.9943618774414,257600.0
2012-03-31,443245000.0,-217098000.0,226147000.0,-124726000.0,-124726000.0,,,101421000.0,-52281000.0,-52127000.0,49140000,-675000.0,48465000,-13853000.0,34612000,199000.0,34523000,34523000,916854000.0,158561000.0,,1174023000.0,3387369000.0,166437000.0,1156516000.0,4710322000.0,5884345000,319766000.0,336796000.0,718083000.0,2745652000.0,3036712000.0,3754795000,2490449000.0,-99031000.0,-220572000.0,2129550000.0,5884345000,34811000.0,92804000.0,31185000.0,-32807000.0,-19677000.0,,-40535000.0,27405000.0,125993000.0,-145490000.0,-97383000.0,,269433000.0,,-61046000.0,17096000.0,-43950000.0,354121000,2012-03-30,156.10000610351562,159.5,153.1999969482422,157.4499969482422,127.31768035888672,1839000.0
2012-06-30,457249000.0,-225289000.0,231960000.0,-128198000.0,-128198000.0,,,103762000.0,-47668000.0,-45824000.0,56094000,-1666000.0,54428000,-17138000.0,37290000,350000.0,36447000,36447000,769561000.0,169812000.0,,1009592000.0,3525839000.0,53460000.0,1135797000.0,4715096000.0,5724688000,344692000.0,85769000.0,491159000.0,2807704000.0,3090054000.0,3581213000,2444689000.0,-37166000.0,-184125000.0,2143475000.0,5724688000,37640000.0,95562000.0,27817000.0,33763000.0,-14864000.0,,30648000.0,17979000.0,194782000.0,-196484000.0,-68435000.0,,93880000.0,,-263209000.0,6013000.0,-264716000.0,21152000,2012-06-29,171.92999267578125,177.27999877929688,171.08999633789062,175.64999389648438,142.03457641601562,1090800.0
2012-09-30,484835000.0,-250946000.0,233889000.0,-136501000.0,-136501000.0,,,97388000.0,-48646000.0,-49153000.0,48742000,-9746000.0,38996000,-12348000.0,26648000,679000.0,26965000,26965000,404474000.0,181973000.0,,725186000.0,3791063000.0,115362000.0,1359359000.0,5265784000.0,5990970000,385737000.0,64185000.0,612459000.0,2892344000.0,3066671000.0,3679130000,2539284000.0,-36706000.0,-155287000.0,2311840000.0,5990970000,24082000.0,106732000.0,-16928000.0,-6327000.0,-12359000.0,,17222000.0,-11190000.0,107559000.0,-212118000.0,-200116000.0,-278441000.0,-602266000.0,,8104000.0,13666000.0,73697000.0,-414409000,2012-09-28,203.47999572753903,207.66000366210938,203.17999267578125,206.0500030517578,166.61671447753906,897200.0
2012-12-31,502047000.0,-251284000.0,250763000.0,-141755000.0,-141755000.0,,,109008000.0,-50475000.0,-49758000.0,58533000,-11800000.0,46733000,-15225000.0,31508000,11858000.0,42093000,42093000,418705000.0,163840000.0,,640092000.0,3915738000.0,127819000.0,1452148000.0,5495705000.0,6135797000,332362000.0,67366000.0,549072000.0,2943381000.0,3189106000.0,3738178000,2582287000.0,-36676000.0,-131128000.0,2397619000.0,6135797000,46611000.0,103481000.0,6085000.0,47515000.0,20299000.0,,26203000.0,1013000.0,203692000.0,-133950000.0,-76936000.0,-31051000.0,-203920000.0,,-12754000.0,5998000.0,12248000.0,12526000,2012-12-31,204.52999877929688,208.91000366210938,202.22000122070312,206.1999969482422,166.73802185058594,800600.0
2013-03-31,516134000.0,-258591000.0,257543000.0,-149094000.0,-149094000.0,,,108449000.0,-60043000.0,-59584000.0,48406000,-3662000.0,44744000,-11460000.0,33284000,,32843000,32843000,918308000.0,185163000.0,,2005857000.0,3890190000.0,293751000.0,1423135000.0,5607076000.0,7612933000,313038000.0,813654000.0,1265710000.0,3710105000.0,3908071000.0,5173781000,2627384000.0,-36309000.0,-74547000.0,2439152000.0,7612933000,33284000.0,107140000.0,15147000.0,-71390000.0,-24663000.0,,-27996000.0,-18731000.0,84181000.0,-75667000.0,-296513000.0,,-1142540000.0,,1482432000.0,14368000.0,1496760000.0,432806000,2013-03-28,212.75,216.5,210.3999938964844,216.30999755859372,174.9132080078125,462300.0
2013-06-30,528871000.0,-267109000.0,261762000.0,-148110000.0,-148110000.0,,,113652000.0,-57316000.0,-60084000.0,56336000,-91291000.0,-34955000,9668000.0,-25287000,,-25816000,-25816000,840956000.0,201336000.0,,1097609000.0,4103344000.0,375971000.0,1500925000.0,5980240000.0,7077849000,359042000.0,125622000.0,607535000.0,3816057000.0,4061825000.0,4669360000,2651446000.0,-36284000.0,-103205000.0,2408489000.0,7077849000,-25287000.0,109120000.0,120430000.0,-57104000.0,-19098000.0,,28392000.0,-66398000.0,147159000.0,-122863000.0,-327291000.0,,537547000.0,,-772296000.0,1512000.0,-850034000.0,-167523000,2013-06-28,186.27999877929688,186.38999938964844,182.4499969482422,184.72000122070312,149.36878967285156,1348700.0
2013-09-30,543084000.0,-268960000.0,274124000.0,-158493000.0,-158493000.0,,,115631000.0,-60043000.0,-61028000.0,55588000,-438000.0,55150000,-12397000.0,42753000,,42471000,42471000,745780000.0,199644000.0,,1004774000.0,4381020000.0,442195000.0,1561055000.0,6384270000.0,7389044000,390603000.0,57164000.0,582225000.0,3989412000.0,4252764000.0,4834989000,2692260000.0,-35903000.0,-81630000.0,2554055000.0,7389044000,42753000.0,109836000.0,28587000.0,25386000.0,3469000.0,,17003000.0,4914000.0,206562000.0,-171035000.0,-190618000.0,-598000.0,-330958000.0,,-12932000.0,12202000.0,-1178000.0,-117754000,2013-09-30,181.83999633789062,184.55999755859372,179.72999572753906,183.6499938964844,148.5035858154297,745200.0
2013-12-31,564677000.0,-269743000.0,294934000.0,-165716000.0,-165716000.0,,,129218000.0,-62750000.0,-64709000.0,66468000,-19128000.0,47340000,-1967000.0,45373000,,45187000,45187000,631702000.0,184840000.0,,888660000.0,4591650000.0,398390000.0,1613659000.0,6603699000.0,7492359000,327824000.0,70722000.0,546504000.0,4087934000.0,4362889000.0,4909393000,2693937000.0,-84663000.0,-36443000.0,2582966000.0,7492359000,45373000.0,106375000.0,56340000.0,-41382000.0,12336000.0,,-10157000.0,-43561000.0,166706000.0,-202841000.0,-154549000.0,-48739000.0,-233362000.0,0.0,-11799000.0,-44989000.0,-70641000.0,-137848000,2013-12-31,173.0800018310547,177.50999450683594,173.00999450683594,177.4499969482422,143.49012756347656,644500.0
2014-03-31,580053000.0,-287525000.0,292528000.0,-170731000.0,-170731000.0,,,121797000.0,-66708000.0,-67386000.0,55089000,-185000.0,54904000,-13567000.0,41337000,,41387000,41387000,817548000.0,213560000.0,,1086018000.0,4766297000.0,224176000.0,1654107000.0,6644580000.0,7730598000,373811000.0,72002000.0,595156000.0,4207369000.0,4491477000.0,5086633000,2743295000.0,-131408000.0,4944000.0,2643965000.0,7730598000,41337000.0,113928000.0,26346000.0,-9893000.0,-28995000.0,,8830000.0,10272000.0,171718000.0,-105907000.0,-93423000.0,,98885000.0,,-14567000.0,-32733000.0,-37282000.0,233280000,2014-03-31,185.0,185.5200042724609,183.1499938964844,184.83999633789062,149.46583557128906,699500.0
2014-06-30,605161000.0,-292859000.0,312302000.0,-186929000.0,-186929000.0,,,125373000.0,-65449000.0,-66130000.0,59924000,-51859000.0,8065000,2014000.0,10079000,,11328000,11328000,615659000.0,237831000.0,,954534000.0,4924162000.0,88690000.0,1672225000.0,6685077000.0,7639611000,343917000.0,72847000.0,563315000.0,3863328000.0,4166081000.0,4729396000,2797239000.0,-52938000.0,16272000.0,2910215000.0,7639611000,10079000.0,115647000.0,95998000.0,-122760000.0,-24510000.0,,-23002000.0,-75248000.0,98964000.0,-159816000.0,-21799000.0,,91503000.0,,-51161000.0,-206829000.0,-278928000.0,-86840000,2014-06-30,210.0800018310547,211.27999877929688,208.8800048828125,210.08999633789062,169.88356018066406,662600.0
2014-09-30,620441000.0,-304052000.0,316389000.0,-181539000.0,-181539000.0,,,134850000.0,-61589000.0,-63400000.0,73261000,281000.0,73542000,-30581000.0,42961000,,42841000,42841000,485040000.0,275264000.0,,857711000.0,4983376000.0,16075000.0,1604838000.0,6604289000.0,7462000000,442625000.0,77899000.0,668200000.0,3905756000.0,4196120000.0,4864320000,2870806000.0,-94759000.0,59113000.0,2597680000.0,7462000000,42961000.0,120152000.0,32705000.0,20623000.0,-50889000.0,,41282000.0,30230000.0,216441000.0,-156003000.0,-21294000.0,,-6316000.0,,-5575000.0,-30213000.0,-256239000.0,-54153000,2014-09-30,211.83999633789062,213.5399932861328,210.3600006103516,212.47999572753903,171.81617736816406,593700.0
2014-12-31,638121000.0,-313449000.0,324672000.0,-194920000.0,-194920000.0,,,129752000.0,-73797000.0,-70746000.0,55955000,-107733000.0,-51778000,-303325000.0,-355103000,0.0,-355103000,-355103000,1140312000.0,262570000.0,,1490943000.0,4998270000.0,439000.0,1292326000.0,6291035000.0,7781978000,400265000.0,80828000.0,643757000.0,4563126000.0,4868090000.0,5511847000,3334362000.0,-11411000.0,-295990000.0,2270131000.0,7781978000,-355103000.0,131964000.0,146021000.0,279415000.0,2428000.0,,-16429000.0,293416000.0,202297000.0,-238477000.0,-409481000.0,0.0,-619911000.0,-83266000.0,879113000.0,1137000.0,679850000.0,256736000,2014-12-31,229.6000061035156,230.0,225.75999450683597,226.72999572753903,190.53424072265625,351000.0
